file,question,answer
10597533885.csv,Trong ảnh có những loại đồ chơi nào?,"Trong ảnh có gấu bông, sách, đồ chơi lắp ráp bằng nhựa, và một đồ chơi màu vàng."
10597533885.csv,Đứa trẻ đang nhìn về hướng nào?,Đứa trẻ đang nhìn về bên phải.
10597533885.csv,Gấu bông trong hộp đang mặc áo màu gì?,Gấu bông trong hộp đang mặc áo màu hồng.
10597533885.csv,"Có rèm cửa không, nếu có thì màu gì?","Có, có rèm cửa màu trắng."
10597533885.csv,Đứa trẻ trong ảnh đang ngồi ở đâu?,Đứa trẻ đang ngồi trên sàn nhà.
10597533885.csv,Có bao nhiêu giá sách được hiển thị trong ảnh?,Có hai giá sách được hiển thị trong ảnh.
10597533885.csv,Đồ chơi nào được để trong hộp màu trắng?,Có gấu bông và các khối xếp hình để trong hộp màu trắng.
10597533885.csv,Đứa trẻ mặc áo màu gì?,Đứa trẻ mặc áo màu sáng.
10597533885.csv,"Ngoài sách ra, còn có đồ chơi gì gần giá sách bên phải?",Có một tòa nhà đồ chơi gần giá sách bên phải.
10597533885.csv,Trong phòng có những đồ vật gì?,"Trong phòng có sách, đồ chơi và giá sách."
10597533885.csv,Đứa trẻ đang ở đâu trong phòng?,"Đứa trẻ đang ở giữa phòng, gần giá sách và các hộp đồ chơi."
10597533885.csv,Có bao nhiêu hộp đồ chơi được nhìn thấy?,Có thể nhìn thấy ít nhất hai hộp đồ chơi.
10597533885.csv,Đứa trẻ đang làm gì?,"Không rõ đứa trẻ đang làm gì, vì chỉ nhìn thấy phía sau lưng."
10597533885.csv,Có bao nhiêu sách trên giá sách?,"Có rất nhiều sách trên giá sách, rất khó để đếm chính xác."
10597533885.csv,Đứa trẻ đang chơi với đồ chơi gì?,Đứa trẻ đang chơi với một trung tâm hoạt động đồ chơi.
10597533885.csv,Trên kệ có những loại đồ chơi nào?,"Trên kệ có thú nhồi bông, một quả bóng màu xanh và một con thỏ nhồi bông mặc váy đỏ."
10597533885.csv,Giá sách có chứa gì?,Giá sách chứa đầy sách.
10597533885.csv,Đứa trẻ đang mặc áo màu gì?,Đứa trẻ đang mặc áo sáng màu.
10597533885.csv,"Đứa trẻ có đội mũ không, và nếu có thì màu gì?","Có, đứa trẻ có đội mũ, và mũ màu đỏ."
10597533885.csv,Trong ảnh có những loại đồ chơi nào?,"Trong ảnh có gấu bông, các khối hình màu sắc và nhiều loại đồ chơi khác trên kệ."
10597533885.csv,Đứa trẻ đang chơi ở đâu?,Đứa trẻ đang chơi trong một căn phòng có vẻ là phòng chơi hoặc phòng ngủ.
10597533885.csv,Giá sách chứa những gì?,Giá sách chứa rất nhiều sách với đủ màu sắc và kích cỡ.
10597533885.csv,Đứa trẻ đang mặc áo màu gì?,Đứa trẻ đang mặc một chiếc áo màu sáng.
10597533885.csv,"Ngoài đồ chơi và sách, còn có những đồ vật nào khác trong phòng?","Ngoài đồ chơi và sách, có vẻ như còn có một số vật dụng khác trên các kệ, nhưng không thể xác định rõ do ảnh hơi mờ."
10597533885.csv,Đứa trẻ đang chơi với loại đồ chơi gì?,"Đứa trẻ đang chơi với một đồ chơi hình tròn nhiều màu sắc, có vẻ như là trò chơi xếp hình hoặc phân loại hình dạng."
10597533885.csv,Phía sau đứa trẻ có những gì?,Phía sau đứa trẻ có một kệ chứa thú nhồi bông và một hộp đựng màu xanh lam.
10597533885.csv,"Ngoài sách, trên giá còn có gì khác không?",Trên giá còn có một khối vuông màu vàng.
10597533885.csv,Đứa trẻ mặc áo màu gì?,Đứa trẻ mặc áo màu xám nhạt.
10597533885.csv,Ngôi nhà đồ chơi có màu gì?,Ngôi nhà đồ chơi có màu đỏ.
10597533885.csv,Đứa trẻ đang chơi với loại đồ chơi gì?,"Đứa trẻ đang chơi với một đồ chơi hình tròn, có màu sắc và số."
10597533885.csv,Đồ chơi nào được đặt trong thùng chứa đồ màu trắng?,Thú nhồi bông và các đồ chơi khác được đặt trong thùng chứa đồ màu trắng.
10597533885.csv,Có gì trên giá sách?,Có rất nhiều sách trên giá sách.
10597533885.csv,Ngôi nhà đồ chơi làm bằng vật liệu gì?,Ngôi nhà đồ chơi làm bằng gỗ.
10597533885.csv,Em bé đang làm gì?,Em bé đang chơi với một món đồ chơi có bánh xe quay.
10597533885.csv,Trong thùng có những loại đồ chơi gì?,Trong thùng có thú nhồi bông và các khối xây dựng.
10597533885.csv,Giá sách chứa những gì?,Giá sách chứa rất nhiều sách.
10597533885.csv,Có bao nhiêu kệ sách có thể nhìn thấy trong ảnh?,Có hai kệ sách có thể nhìn thấy trong ảnh.
10597533885.csv,Màu sắc chủ đạo của món đồ chơi em bé đang chơi là gì?,"Món đồ chơi có nhiều màu sắc, bao gồm đỏ, xanh, vàng."
10597533885.csv,Đứa trẻ đang làm gì trong ảnh?,Đứa trẻ đang chơi với một món đồ chơi có bánh xe xoay nhiều màu sắc.
10597533885.csv,Có những loại đồ chơi nào trong thùng màu trắng?,"Trong thùng màu trắng có gấu bông mặc áo hồng, và các loại đồ chơi khác nhiều màu sắc."
10597533885.csv,Ngôi nhà đồ chơi có màu gì?,Ngôi nhà đồ chơi có mái màu đỏ.
10597533885.csv,Có những đồ vật gì trên kệ sách?,Trên kệ sách có rất nhiều sách.
10597533885.csv,"Ngoài sách và đồ chơi, còn đồ vật gì khác trong phòng?",Ngoài sách và đồ chơi còn có kệ gỗ.
10597533885.csv,Đứa trẻ trong ảnh đang làm gì?,Đứa trẻ đang chơi với một đồ chơi xếp hình hình tròn.
10597533885.csv,Trong thùng trắng đựng đồ chơi có gì?,Trong thùng có một con gấu bông mặc áo hồng và nhiều đồ chơi đầy màu sắc khác.
10597533885.csv,Phía sau đứa trẻ có đồ vật gì?,Phía sau đứa trẻ có một ngôi nhà đồ chơi bằng gỗ.
10597533885.csv,"Ngoài đồ chơi, trong phòng còn có gì khác?",Trong phòng còn có các kệ sách chứa rất nhiều sách.
10597533885.csv,Ánh sáng trong phòng có vẻ như thế nào?,Ánh sáng có vẻ tự nhiên.
10597533885.csv,Trong ảnh có những loại đồ vật nào?,"Trong ảnh có đồ chơi, thú nhồi bông, sách, kệ sách, rèm cửa và thùng đựng đồ chơi."
10597533885.csv,Đứa trẻ trong ảnh đang làm gì?,Đứa trẻ đang chơi với một món đồ chơi tròn nhiều màu sắc.
10597533885.csv,Thú nhồi bông được đựng ở đâu?,Thú nhồi bông được đựng trong thùng và trên kệ sách.
10597533885.csv,Màu sắc chủ đạo của món đồ chơi mà đứa trẻ đang chơi là gì?,"Màu sắc chủ đạo của món đồ chơi là nhiều màu, có cả màu đỏ, xanh và vàng."
10597533885.csv,Đứa trẻ đang chơi với loại đồ chơi gì?,Đứa trẻ đang chơi với một loại đồ chơi hình học đầy màu sắc.
10597533885.csv,Con gấu bông trong thùng đựng đồ chơi đang mặc áo màu gì?,Con gấu bông đang mặc áo màu hồng.
10597533885.csv,Có những loại đồ vật gì trên kệ gỗ phía sau đứa trẻ?,Trên kệ gỗ có thú nhồi bông và một hộp nhựa màu xanh lam.
10597533885.csv,Giá sách bên phải đứa trẻ chứa gì?,Giá sách bên phải chứa đầy sách.
10597533885.csv,Đứa trẻ đang chơi trò chơi gì?,Đứa trẻ đang chơi trống đồ chơi.
10597533885.csv,Trong hộp có những loại đồ chơi nào?,Trong hộp có gấu bông và các loại đồ chơi nhồi bông khác.
10597533885.csv,Đồ vật nào có màu đỏ trên giá đựng đồ chơi?,Ngôi nhà đồ chơi bằng gỗ có mái màu đỏ.
10597533885.csv,Trên kệ sách có cuốn sách nào được nhận diện không?,Có một cuốn sách có tên 'Ten Nine Eight' được nhận diện.
10597533885.csv,Đứa trẻ đang chơi với đồ chơi gì?,Đứa trẻ đang chơi với một đồ chơi tròn có các phần màu sắc.
10597533885.csv,Thú nhồi bông nào có trái tim màu hồng?,Con gấu teddy có trái tim màu hồng.
10597533885.csv,"Ngoài gấu teddy, trong thùng đựng đồ còn có những đồ chơi gì khác?","Ngoài gấu teddy, trong thùng còn có các loại đồ chơi khác và thú nhồi bông khác."
10597533885.csv,Đồ chơi hình ngôi nhà được làm từ vật liệu gì?,Đồ chơi hình ngôi nhà có vẻ được làm từ gỗ.
10597533885.csv,Đứa trẻ đang chơi với đồ chơi gì?,Đứa trẻ đang chơi với đồ chơi gara ô tô.
10597533885.csv,Trong thùng đồ chơi có những loại đồ chơi nào?,"Trong thùng đồ chơi có gấu bông, các khối đồ chơi màu sắc."
10597533885.csv,Ngôi nhà đồ chơi được làm bằng chất liệu gì?,Ngôi nhà đồ chơi được làm bằng gỗ.
10597533885.csv,Gấu bông mặc áo màu gì?,Gấu bông mặc áo màu hồng.
10597533885.csv,Đứa trẻ đang chơi với loại đồ chơi gì?,"Đứa trẻ đang chơi với một món đồ chơi nhiều màu, có thể là một ga-ra đồ chơi hoặc một trò chơi ghép hình."
10597533885.csv,Con gấu bông mặc áo màu gì?,Con gấu bông mặc áo màu hồng.
10597533885.csv,Có cái gì bên phải đứa trẻ?,Bên phải đứa trẻ có một kệ sách chứa đầy sách.
10597533885.csv,Thùng đồ chơi có màu gì?,Thùng đồ chơi có màu trắng.
10597533885.csv,"Ngoài gấu bông, trong thùng còn có những loại đồ chơi gì khác?","Ngoài gấu bông, trong thùng còn có những đồ chơi khác như các khối xếp hình."
10597533885.csv,Đứa trẻ đang chơi với loại đồ chơi gì?,Đứa trẻ đang chơi với gara ô tô đồ chơi.
10597533885.csv,Trong thùng chứa có những loại đồ chơi nào?,Trong thùng chứa có gấu bông và các khối xây dựng.
10597533885.csv,Con gấu bông trong thùng mặc áo màu gì?,Con gấu bông mặc áo màu hồng.
10597533885.csv,"Ngoài đồ chơi, trong phòng còn có gì?",Trong phòng còn có sách được đặt trên kệ.
10597533885.csv,Có bao nhiêu đồ chơi ô tô có thể nhìn thấy trên sàn?,Có thể thấy hai đồ chơi ô tô trên sàn.
10597533885.csv,Đứa trẻ đang chơi ở đâu?,Đứa trẻ đang chơi trong phòng.
10597533885.csv,Đồ chơi nào nằm trong thùng?,Trong thùng có thú nhồi bông và các khối màu.
10597533885.csv,Có những gì trên giá sách?,Trên giá sách có sách.
10597533885.csv,Đứa trẻ đang chơi với đồ chơi gì?,Đứa trẻ đang chơi với gara xe đồ chơi.
10597533885.csv,"Ngoài gara xe và thùng đồ chơi, còn đồ chơi nào khác không?","Có, còn một vài món đồ chơi rải rác trên sàn."
10597533885.csv,Trong ảnh có bao nhiêu con gấu bông?,Có một con gấu bông mặc áo hồng trong hộp đựng đồ chơi.
10597533885.csv,Đứa trẻ đang chơi với loại đồ chơi gì?,Đứa trẻ đang chơi với một bộ đồ chơi garage nhiều tầng.
10597533885.csv,"Ngoài đồ chơi, trong phòng còn có gì?",Trong phòng còn có một kệ sách đầy sách.
10597533885.csv,Màu sắc của chiếc áo mà con gấu bông đang mặc là gì?,Chiếc áo của con gấu bông có màu hồng.
10597533885.csv,Đồ chơi có nằm gọn trong hộp không?,"Không, một số đồ chơi nằm rải rác trên sàn xung quanh hộp."
10597533885.csv,Đứa trẻ đang chơi với loại đồ chơi gì?,Đứa trẻ đang chơi với một đồ chơi nhà để xe hoặc bãi đậu xe.
10597533885.csv,Có những loại thú nhồi bông nào trong hộp đồ chơi?,Có một con gấu bông và một số loại thú nhồi bông khác trong hộp đồ chơi.
10597533885.csv,"Ngoài đồ chơi nhà để xe, còn có những loại đồ chơi nào khác trên sàn?",Có ô tô đồ chơi và gạch LEGO trên sàn.
10597533885.csv,Đứa trẻ trong ảnh có vẻ khoảng bao nhiêu tuổi?,Đứa trẻ có vẻ khoảng 2-3 tuổi.
10597533885.csv,Đứa trẻ đang chơi với đồ chơi gì?,Đứa trẻ đang chơi với bộ đồ chơi gara ô tô.
10597533885.csv,Trong thùng đựng đồ màu trắng có những đồ vật gì?,"Trong thùng đựng đồ màu trắng có đồ chơi, bao gồm một con gấu bông mặc áo màu hồng."
10597533885.csv,Trong ảnh có nhìn thấy đồ vật gì khác ngoài đồ chơi không?,"Có, trong ảnh còn nhìn thấy một kệ sách chứa đầy sách."
10597533885.csv,Khu vực trong ảnh có vẻ là loại phòng gì?,Khu vực trong ảnh có vẻ là phòng chơi hoặc phòng ngủ của trẻ em.
10597533885.csv,Đứa trẻ trong ảnh đang chơi với đồ chơi gì?,Đứa trẻ đang chơi với bộ đồ chơi gara.
10597533885.csv,Trong hộp đựng đồ chơi có những gì?,Trong hộp có gấu bông và các khối màu.
10597533885.csv,"Ngoài đồ chơi, còn có vật dụng gì khác trong phòng?","Ngoài đồ chơi, còn có kệ sách chứa đầy sách."
10597533885.csv,Đứa trẻ mặc áo màu gì?,Đứa trẻ mặc áo màu xám.
10597533885.csv,Có bao nhiêu đồ chơi xe hơi nhìn thấy được trong ảnh?,Có ít nhất hai đồ chơi xe hơi nhìn thấy được.
10597533885.csv,"Trong ảnh, đứa trẻ đang chơi với đồ chơi gì?",Đứa trẻ đang chơi với bộ đồ chơi gara ô tô cổ điển.
10597533885.csv,Con gấu bông trong hộp đựng đồ đang mặc áo màu gì?,Con gấu bông đang mặc áo màu hồng.
10597533885.csv,"Ngoài gara ô tô, những đồ chơi nào khác có trong ảnh?","Ngoài gara ô tô, còn có gấu bông, các khối màu và những đồ chơi khác trong hộp đựng đồ."
10597533885.csv,Phòng trong ảnh có những đồ vật gì ở phía sau?,Phía sau có giá sách chứa đầy sách.
10597533885.csv,Có bao nhiêu đứa trẻ trong bức ảnh?,Chỉ có một đứa trẻ trong bức ảnh.
10597533885.csv,Đứa trẻ đang chơi trò chơi gì?,Đứa trẻ đang chơi với một bộ đồ chơi gara ô tô.
10597533885.csv,Trong thùng đồ chơi có những gì?,Trong thùng đồ chơi có một con gấu bông mặc áo hồng và một vài khối nhựa màu sắc.
10597533885.csv,Mái của ngôi nhà đồ chơi bằng gỗ có màu gì?,Mái của ngôi nhà đồ chơi bằng gỗ có màu đỏ.
